"Code postal","Localité","Sous-commune","Commune Principale","Province"
1450,"Saint-Géry","Oui","Chastre","Brabant Wallon"
6200,"Châtelet","Non","Châtelet","Hainaut"
6200,"Bouffioulx","Oui","Châtelet","Hainaut"
6200,"Châtelineau","Oui","Châtelet","Hainaut"
4050,"Chaudfontaine","Non","Chaudfontaine","Liege"
4051,"Vaux-sous-Chèvremont","Oui","Chaudfontaine","Liege"
4052,"Beaufays","Oui","Chaudfontaine","Liege"
4053,"Embourg","Oui","Chaudfontaine","Liege"
1325,"Chaumont-Gistoux","Non","Chaumont-Gistoux","Brabant Wallon"
1325,"Bonlez","Oui","Chaumont-Gistoux","Brabant Wallon"
1325,"Corroy-le-Grand","Oui","Chaumont-Gistoux","Brabant Wallon"
1325,"Dion-Valmont","Oui","Chaumont-Gistoux","Brabant Wallon"
1325,"Longueville","Oui","Chaumont-Gistoux","Brabant Wallon"
7950,"Chièvres","Non","Chièvres","Hainaut"
7950,"Grosage","Oui","Chièvres","Hainaut"
7950,"Huissignies","Oui","Chièvres","Hainaut"
7950,"Ladeuze","Oui","Chièvres","Hainaut"
7950,"Tongre-Saint-Martin","Oui","Chièvres","Hainaut"
7951,"Tongre-Notre-Dame","Oui","Chièvres","Hainaut"
6460,"Chimay","Non","Chimay","Hainaut"
6460,"Bailièvre","Oui","Chimay","Hainaut"
6460,"Robechies","Oui","Chimay","Hainaut"
6460,"Saint-Remy","Oui","Chimay","Hainaut"
6460,"Salles","Oui","Chimay","Hainaut"
6460,"Villers-la-Tour","Oui","Chimay","Hainaut"
6461,"Virelles","Oui","Chimay","Hainaut"
6462,"Vaulx-lez-Chimay","Oui","Chimay","Hainaut"
6463,"Lompret","Oui","Chimay","Hainaut"
6464,"Baileux","Oui","Chimay","Hainaut"
6464,"Bourlers","Oui","Chimay","Hainaut"
6464,"Forges","Oui","Chimay","Hainaut"
6464,"l'Escaillère","Oui","Chimay","Hainaut"
6464,"Rièzes","Oui","Chimay","Hainaut"
6810,"Chiny","Non","Chiny","Luxembourg"
6810,"Izel","Oui","Chiny","Luxembourg"
6810,"Jamoigne","Oui","Chiny","Luxembourg"
6811,"Les Bulles","Oui","Chiny","Luxembourg"
6812,"Suxy","Oui","Chiny","Luxembourg"
6813,"Termes","Oui","Chiny","Luxembourg"
5590,"Ciney","Non","Ciney","Namur"
5590,"Achêne","Oui","Ciney","Namur"
5590,"Braibant","Oui","Ciney","Namur"
5590,"Chevetogne","Oui","Ciney","Namur"
5590,"Conneux","Oui","Ciney","Namur"
5590,"Haversin","Oui","Ciney","Namur"
5590,"Leignon","Oui","Ciney","Namur"
5590,"Pessoux","Oui","Ciney","Namur"
5590,"Serinchamps","Oui","Ciney","Namur"
5590,"Sovet","Oui","Ciney","Namur"
4560,"Clavier","Non","Clavier","Liege"
4560,"Bois-et-Borsu","Oui","Clavier","Liege"
4560,"Les Avins","Oui","Clavier","Liege"
4560,"Ocquier","Oui","Clavier","Liege"
4560,"Pailhe","Oui","Clavier","Liege"
4560,"Terwagne","Oui","Clavier","Liege"
7340,"Colfontaine","Non","Colfontaine","Hainaut"
7340,"Pâturages","Oui","Colfontaine","Hainaut"
7340,"Warquignies","Oui","Colfontaine","Hainaut"
7340,"Wasmes","Oui","Colfontaine","Hainaut"
4170,"Comblain-au-Pont","Non","Comblain-Au-Pont","Liege"
4171,"Poulseur","Oui","Comblain-Au-Pont","Liege"
7780,"Comines-Warneton","Non","Comines-Warneton","Hainaut"
7780,"Comines","Oui","Comines-Warneton","Hainaut"
7781,"Houthem","Oui","Comines-Warneton","Hainaut"
7782,"Ploegsteert","Oui","Comines-Warneton","Hainaut"
7783,"Bizet","Oui","Comines-Warneton","Hainaut"
7784,"Bas-Warneton","Oui","Comines-Warneton","Hainaut"
7784,"Warneton","Oui","Comines-Warneton","Hainaut"
1935,"Corporate Village",,"Corporate Village",
6180,"Courcelles","Non","Courcelles","Hainaut"
6181,"Gouy-lez-Piéton","Oui","Courcelles","Hainaut"
6182,"Souvret","Oui","Courcelles","Hainaut"
6183,"Trazegnies","Oui","Courcelles","Hainaut"
1490,"Court-Saint-Etienne","Non","Court-Saint-Etienne","Brabant Wallon"
5660,"Couvin","Non","Couvin","Namur"
5660,"Aublain","Oui","Couvin","Namur"
5660,"Boussu-en-Fagne","Oui","Couvin","Namur"
5660,"Brûly","Oui","Couvin","Namur"
5660,"Brûly-de-Pesche","Oui","Couvin","Namur"
5660,"Cul-des-Sarts","Oui","Couvin","Namur"
5660,"Dailly","Oui","Couvin","Namur"
5660,"Frasnes","Oui","Couvin","Namur"
5660,"Gonrieux","Oui","Couvin","Namur"
5660,"Mariembourg","Oui","Couvin","Namur"
5660,"Pesche","Oui","Couvin","Namur"
5660,"Pétigny","Oui","Couvin","Namur"
5660,"Petite-Chapelle","Oui","Couvin","Namur"
5660,"Presgaux","Oui","Couvin","Namur"
4367,"Crisnée","Non","Crisnée","Liege"
4367,"Fize-Le-Marsal","Oui","Crisnée","Liege"
4367,"Kemexhe","Oui","Crisnée","Liege"
4367,"Odeur","Oui","Crisnée","Liege"
4367,"Thys","Oui","Crisnée","Liege"
6075,"CSM Charleroi X",,"Csm Charleroi X",
9075,"CSM Gent X",,"Csm Gent X",
4606,"Saint-André","Oui","Dalhem","Liege"
4607,"Dalhem","Non","Dalhem","Liege"
4607,"Berneau","Oui","Dalhem","Liege"
4607,"Bombaye","Oui","Dalhem","Liege"
4607,"Feneur","Oui","Dalhem","Liege"
4607,"Mortroux","Oui","Dalhem","Liege"
4608,"Neufchâteau","Oui","Dalhem","Liege"
4608,"Warsage","Oui","Dalhem","Liege"
8340,"Damme","Non","Damme","Flandre Occidentale"
8340,"Hoeke","Oui","Damme","Flandre Occidentale"
8340,"Lapscheure","Oui","Damme","Flandre Occidentale"
8340,"Moerkerke","Oui","Damme","Flandre Occidentale"
8340,"Oostkerke","Oui","Damme","Flandre Occidentale"
8340,"Sijsele","Oui","Damme","Flandre Occidentale"
7512,"DANIEL JOUVANCE",,"Daniel Jouvance",
6929,"Daverdisse","Non","Daverdisse","Luxembourg"
6929,"Gembes","Oui","Daverdisse","Luxembourg"
6929,"Haut-Fays","Oui","Daverdisse","Luxembourg"
6929,"Porcheresse","Oui","Daverdisse","Luxembourg"
8420,"De Haan","Non","De Haan","Flandre Occidentale"
8420,"Klemskerke","Oui","De Haan","Flandre Occidentale"
8420,"Wenduine","Oui","De Haan","Flandre Occidentale"
8421,"Vlissegem","Oui","De Haan","Flandre Occidentale"
8660,"De Panne","Non","De Panne","Flandre Occidentale"
8660,"Adinkerke","Oui","De Panne","Flandre Occidentale"
9840,"De Pinte","Non","De Pinte","Flandre Orientale"
9840,"Zevergem","Oui","De Pinte","Flandre Orientale"
8540,"Deerlijk","Non","Deerlijk","Flandre Occidentale"
9800,"Deinze","Non","Deinze","Flandre Orientale"
9800,"Astene","Oui","Deinze","Flandre Orientale"
9800,"Bachte-Maria-Leerne","Oui","Deinze","Flandre Orientale"
9800,"Gottem","Oui","Deinze","Flandre Orientale"
9800,"Grammene","Oui","Deinze","Flandre Orientale"
9800,"Meigem","Oui","Deinze","Flandre Orientale"
9800,"Petegem-aan-de-Leie","Oui","Deinze","Flandre Orientale"
9800,"Sint-Martens-Leerne","Oui","Deinze","Flandre Orientale"
9800,"Vinkt","Oui","Deinze","Flandre Orientale"
9800,"Wontergem","Oui","Deinze","Flandre Orientale"
9800,"Zeveren","Oui","Deinze","Flandre Orientale"
9850,"Hansbeke","Oui","Deinze","Flandre Orientale"
9850,"Landegem","Oui","Deinze","Flandre Orientale"
9850,"Merendree","Oui","Deinze","Flandre Orientale"
9850,"Nevele","Oui","Deinze","Flandre Orientale"
9850,"Poesele","Oui","Deinze","Flandre Orientale"
9850,"Vosselare","Oui","Deinze","Flandre Orientale"
9470,"Denderleeuw","Non","Denderleeuw","Flandre Orientale"
9472,"Iddergem","Oui","Denderleeuw","Flandre Orientale"
9473,"Welle","Oui","Denderleeuw","Flandre Orientale"
9200,"Dendermonde","Non","Dendermonde","Flandre Orientale"
9200,"Appels","Oui","Dendermonde","Flandre Orientale"
9200,"Baasrode","Oui","Dendermonde","Flandre Orientale"
9200,"Grembergen","Oui","Dendermonde","Flandre Orientale"
9200,"Mespelare","Oui","Dendermonde","Flandre Orientale"
9200,"Oudegem","Oui","Dendermonde","Flandre Orientale"
9200,"Schoonaarde","Oui","Dendermonde","Flandre Orientale"
9200,"Sint-Gillis-Dendermonde","Oui","Dendermonde","Flandre Orientale"
8720,"Dentergem","Non","Dentergem","Flandre Occidentale"
8720,"Markegem","Oui","Dentergem","Flandre Occidentale"
8720,"Oeselgem","Oui","Dentergem","Flandre Occidentale"
8720,"Wakken","Oui","Dentergem","Flandre Occidentale"
2480,"Dessel","Non","Dessel","Anvers"
9070,"Destelbergen","Non","Destelbergen","Flandre Orientale"
9070,"Heusden","Oui","Destelbergen","Flandre Orientale"
3590,"Diepenbeek","Non","Diepenbeek","Limbourg"
3290,"Diest","Non","Diest","Brabant Flamand"
3290,"Deurne","Oui","Diest","Brabant Flamand"
3290,"Schaffen","Oui","Diest","Brabant Flamand"
3290,"Webbekom","Oui","Diest","Brabant Flamand"
3293,"Kaggevinne","Oui","Diest","Brabant Flamand"
3294,"Molenstede","Oui","Diest","Brabant Flamand"
8600,"Diksmuide","Non","Diksmuide","Flandre Occidentale"
8600,"Beerst","Oui","Diksmuide","Flandre Occidentale"
8600,"Driekapellen","Oui","Diksmuide","Flandre Occidentale"
8600,"Esen","Oui","Diksmuide","Flandre Occidentale"
8600,"Kaaskerke","Oui","Diksmuide","Flandre Occidentale"
8600,"Keiem","Oui","Diksmuide","Flandre Occidentale"
8600,"Lampernisse","Oui","Diksmuide","Flandre Occidentale"
8600,"Leke","Oui","Diksmuide","Flandre Occidentale"
8600,"Nieuwkapelle","Oui","Diksmuide","Flandre Occidentale"
8600,"Oostkerke","Oui","Diksmuide","Flandre Occidentale"
8600,"Oudekapelle","Oui","Diksmuide","Flandre Occidentale"
8600,"Pervijze","Oui","Diksmuide","Flandre Occidentale"
8600,"Sint-Jacobs-Kapelle","Oui","Diksmuide","Flandre Occidentale"
8600,"Stuivekenskerke","Oui","Diksmuide","Flandre Occidentale"
8600,"Vladslo","Oui","Diksmuide","Flandre Occidentale"
8600,"Woumen","Oui","Diksmuide","Flandre Occidentale"
1700,"Dilbeek","Non","Dilbeek","Brabant Flamand"
1700,"Sint-Martens-Bodegem","Oui","Dilbeek","Brabant Flamand"
1700,"Sint-Ulriks-Kapelle","Oui","Dilbeek","Brabant Flamand"
1701,"Itterbeek","Oui","Dilbeek","Brabant Flamand"
1702,"Groot-Bijgaarden","Oui","Dilbeek","Brabant Flamand"
1703,"Schepdaal","Oui","Dilbeek","Brabant Flamand"
3650,"Dilsen-Stokkem","Non","Dilsen-Stokkem","Limbourg"
3650,"Dilsen","Oui","Dilsen-Stokkem","Limbourg"
3650,"Elen","Oui","Dilsen-Stokkem","Limbourg"
3650,"Lanklaar","Oui","Dilsen-Stokkem","Limbourg"
3650,"Rotem","Oui","Dilsen-Stokkem","Limbourg"
3650,"Stokkem","Oui","Dilsen-Stokkem","Limbourg"
5500,"Dinant","Non","Dinant","Namur"
5500,"Anseremme","Oui","Dinant","Namur"
5500,"Bouvignes-sur-Meuse","Oui","Dinant","Namur"
5500,"Dréhance","Oui","Dinant","Namur"
5500,"Falmagne","Oui","Dinant","Namur"
5500,"Falmignoul","Oui","Dinant","Namur"
5500,"Furfooz","Oui","Dinant","Namur"
5501,"Lisogne","Oui","Dinant","Namur"
5502,"Thynes","Oui","Dinant","Namur"
5503,"Sorinnes","Oui","Dinant","Namur"
5504,"Foy-Notre-Dame","Oui","Dinant","Namur"
4820,"Dison","Non","Dison","Liege"
4821,"Andrimont","Oui","Dison","Liege"
5680,"Doische","Non","Doische","Namur"
5680,"Gimnée","Oui","Doische","Namur"
5680,"Gochenée","Oui","Doische","Namur"
5680,"Matagne-la-Grande","Oui","Doische","Namur"
5680,"Matagne-la-Petite","Oui","Doische","Namur"
5680,"Niverlée","Oui","Doische","Namur"
5680,"Romerée","Oui","Doische","Namur"
5680,"Soulme","Oui","Doische","Namur"
5680,"Vaucelles","Oui","Doische","Namur"
5680,"Vodelée","Oui","Doische","Namur"
4357,"Donceel","Non","Donceel","Liege"
4357,"Haneffe","Oui","Donceel","Liege"
4357,"Jeneffe","Oui","Donceel","Liege"
4357,"Limont","Oui","Donceel","Liege"
7370,"Dour","Non","Dour","Hainaut"
7370,"Blaugies","Oui","Dour","Hainaut"
7370,"Elouges","Oui","Dour","Hainaut"
7370,"Wihéries","Oui","Dour","Hainaut"
1620,"Drogenbos","Non","Drogenbos","Brabant Flamand"
2570,"Duffel","Non","Duffel","Anvers"
6940,"Durbuy","Non","Durbuy","Luxembourg"
6940,"Barvaux-sur-Ourthe","Oui","Durbuy","Luxembourg"
6940,"Grandhan","Oui","Durbuy","Luxembourg"
6940,"Septon","Oui","Durbuy","Luxembourg"
6940,"Wéris","Oui","Durbuy","Luxembourg"
6941,"Bende","Oui","Durbuy","Luxembourg"
6941,"Bomal-sur-Ourthe","Oui","Durbuy","Luxembourg"
6941,"Borlon","Oui","Durbuy","Luxembourg"
6941,"Heyd","Oui","Durbuy","Luxembourg"
6941,"Izier","Oui","Durbuy","Luxembourg"
6941,"Tohogne","Oui","Durbuy","Luxembourg"
6941,"Villers-Sainte-Gertrude","Oui","Durbuy","Luxembourg"
7190,"Écaussinnes-d'Enghien","Oui","Ecaussinnes","Hainaut"
7190,"Marche-lez-Écaussinnes","Oui","Ecaussinnes","Hainaut"
7191,"Ecaussinnes-Lalaing","Oui","Ecaussinnes","Hainaut"
2650,"Edegem","Non","Edegem","Anvers"
9900,"Eeklo","Non","Eeklo","Flandre Orientale"
5310,"Eghezée","Non","Eghezée","Namur"
5310,"Aische-en-Refail","Oui","Eghezée","Namur"
5310,"Bolinne","Oui","Eghezée","Namur"
5310,"Boneffe","Oui","Eghezée","Namur"
5310,"Branchon","Oui","Eghezée","Namur"
5310,"Dhuy","Oui","Eghezée","Namur"
5310,"Hanret","Oui","Eghezée","Namur"
5310,"Leuze","Oui","Eghezée","Namur"
5310,"Liernu","Oui","Eghezée","Namur"
5310,"Longchamps","Oui","Eghezée","Namur"
5310,"Mehaigne","Oui","Eghezée","Namur"
5310,"Noville-sur-Mehaigne","Oui","Eghezée","Namur"
5310,"Saint-Germain","Oui","Eghezée","Namur"
5310,"Taviers","Oui","Eghezée","Namur"
5310,"Upigny","Oui","Eghezée","Namur"
5310,"Waret-la-Chaussée","Oui","Eghezée","Namur"
7890,"Ellezelles","Non","Ellezelles","Hainaut"
7890,"Lahamaide","Oui","Ellezelles","Hainaut"
7890,"Wodecq","Oui","Ellezelles","Hainaut"
7850,"Enghien","Non","Enghien","Hainaut"
7850,"Marcq","Oui","Enghien","Hainaut"
7850,"Petit-Enghien","Oui","Enghien","Hainaut"
4480,"Engis","Non","Engis","Liege"
4480,"Clermont-sous-Huy","Oui","Engis","Liege"
4480,"Ehein","Oui","Engis","Liege"
4480,"Hermalle-sous-Huy","Oui","Engis","Liege"
6997,"Erezée","Non","Erezée","Luxembourg"
6997,"Amonines","Oui","Erezée","Luxembourg"
6997,"Mormont","Oui","Erezée","Luxembourg"
6997,"Soy","Oui","Erezée","Luxembourg"
9420,"Aaigem","Oui","Erpe-Mere","Flandre Orientale"
9420,"Bambrugge","Oui","Erpe-Mere","Flandre Orientale"
9420,"Burst","Oui","Erpe-Mere","Flandre Orientale"
9420,"Erondegem","Oui","Erpe-Mere","Flandre Orientale"
9420,"Erpe","Oui","Erpe-Mere","Flandre Orientale"
9420,"Mere","Oui","Erpe-Mere","Flandre Orientale"
9420,"Ottergem","Oui","Erpe-Mere","Flandre Orientale"
9420,"Vlekkem","Oui","Erpe-Mere","Flandre Orientale"
6560,"Erquelinnes","Non","Erquelinnes","Hainaut"
6560,"Bersillies-l'Abbaye","Oui","Erquelinnes","Hainaut"
6560,"Grand-Reng","Oui","Erquelinnes","Hainaut"
6560,"Hantes-Wihéries","Oui","Erquelinnes","Hainaut"
6560,"Montignies-Saint-Christophe","Oui","Erquelinnes","Hainaut"
6560,"Solre-sur-Sambre","Oui","Erquelinnes","Hainaut"
4130,"Esneux","Non","Esneux","Liege"
4130,"Tilff","Oui","Esneux","Liege"
8587,"Espierres","Oui","Espierres-Helchin","Flandre Occidentale"
8587,"Helchin","Oui","Espierres-Helchin","Flandre Occidentale"
2910,"Essen","Non","Essen","Anvers"
7730,"Estaimpuis","Non","Estaimpuis","Hainaut"
7730,"Bailleul","Oui","Estaimpuis","Hainaut"
7730,"Estaimbourg","Oui","Estaimpuis","Hainaut"
7730,"Evregnies","Oui","Estaimpuis","Hainaut"
7730,"Leers-Nord","Oui","Estaimpuis","Hainaut"
7730,"Néchin","Oui","Estaimpuis","Hainaut"
7730,"Saint-Léger","Oui","Estaimpuis","Hainaut"
7120,"Croix-lez-Rouveroy","Oui","Estinnes","Hainaut"
7120,"Estinnes-au-Mont","Oui","Estinnes","Hainaut"
7120,"Estinnes-au-Val","Oui","Estinnes","Hainaut"
7120,"Fauroeulx","Oui","Estinnes","Hainaut"
7120,"Haulchin","Oui","Estinnes","Hainaut"
7120,"Peissant","Oui","Estinnes","Hainaut"
7120,"Rouveroy","Oui","Estinnes","Hainaut"
7120,"Vellereille-le-Sec","Oui","Estinnes","Hainaut"
7120,"Vellereille-les-Brayeux","Oui","Estinnes","Hainaut"
6740,"Etalle","Non","Etalle","Luxembourg"
6740,"Sainte-Marie-sur-Semois","Oui","Etalle","Luxembourg"
6740,"Villers-sur-Semois","Oui","Etalle","Luxembourg"
6741,"Vance","Oui","Etalle","Luxembourg"
6742,"Chantemelle","Oui","Etalle","Luxembourg"
6743,"Buzenol","Oui","Etalle","Luxembourg"
1040,"Etterbeek","Non","Etterbeek","Bruxelles"
4700,"Eupen","Non","Eupen","Liege"
4701,"Kettenis","Oui","Eupen","Liege"
1046,"European External Action Service",,"European External Action Service",
1140,"Evere","Non","Evere","Bruxelles"
9940,"Evergem","Non","Evergem","Flandre Orientale"
9940,"Ertvelde","Oui","Evergem","Flandre Orientale"
9940,"Kluizen","Oui","Evergem","Flandre Orientale"
9940,"Sleidinge","Oui","Evergem","Flandre Orientale"
4317,"Faimes","Non","Faimes","Liege"
4317,"Aineffe","Oui","Faimes","Liege"
4317,"Borlez","Oui","Faimes","Liege"
4317,"Celles","Oui","Faimes","Liege"
4317,"Les Waleffes","Oui","Faimes","Liege"
4317,"Viemme","Oui","Faimes","Liege"
6240,"Farciennes","Non","Farciennes","Hainaut"
6240,"Pironchamps","Oui","Farciennes","Hainaut"
6637,"Fauvillers","Non","Fauvillers","Luxembourg"
6637,"Hollange","Oui","Fauvillers","Luxembourg"
6637,"Tintange","Oui","Fauvillers","Luxembourg"
5380,"Bierwart","Oui","Fernelmont","Namur"
5380,"Cortil-Wodon","Oui","Fernelmont","Namur"
5380,"Forville","Oui","Fernelmont","Namur"
5380,"Franc-Waret","Oui","Fernelmont","Namur"
5380,"Hemptinne","Oui","Fernelmont","Namur"
5380,"Hingeon","Oui","Fernelmont","Namur"
5380,"Marchovelette","Oui","Fernelmont","Namur"
5380,"Noville-les-Bois","Oui","Fernelmont","Namur"
5380,"Pontillas","Oui","Fernelmont","Namur"
5380,"Tillier","Oui","Fernelmont","Namur"
4190,"Ferrières","Non","Ferrières","Liege"
4190,"My","Oui","Ferrières","Liege"
4190,"Vieuxville","Oui","Ferrières","Liege"
4190,"Werbomont","Oui","Ferrières","Liege"
4190,"Xhoris","Oui","Ferrières","Liege"
4347,"Fexhe-le-Haut-Clocher","Non","Fexhe-Le-Haut-Clocher","Liege"
4347,"Freloux","Oui","Fexhe-Le-Haut-Clocher","Liege"
4347,"Noville","Oui","Fexhe-Le-Haut-Clocher","Liege"
4347,"Roloux","Oui","Fexhe-Le-Haut-Clocher","Liege"
4347,"Voroux-Goreux","Oui","Fexhe-Le-Haut-Clocher","Liege"
4400,"Awirs","Oui","Flémalle","Liege"
4400,"Chokier","Oui","Flémalle","Liege"
4400,"Flémalle-Grande","Oui","Flémalle","Liege"
4400,"Flémalle-Haute","Oui","Flémalle","Liege"
4400,"Gleixhe","Oui","Flémalle","Liege"
4400,"Ivoz-Ramet","Oui","Flémalle","Liege"
4400,"Mons-lez-Liège","Oui","Flémalle","Liege"
4620,"Fléron","Non","Fléron","Liege"
4621,"Retinne","Oui","Fléron","Liege"
4623,"Magnée","Oui","Fléron","Liege"
4624,"Romsée","Oui","Fléron","Liege"
6220,"Fleurus","Non","Fleurus","Hainaut"
6220,"Heppignies","Oui","Fleurus","Hainaut"
6220,"Lambusart","Oui","Fleurus","Hainaut"
6220,"Wangenies","Oui","Fleurus","Hainaut"
6221,"Saint-Amand","Oui","Fleurus","Hainaut"
6222,"Brye","Oui","Fleurus","Hainaut"
6223,"Wagnelée","Oui","Fleurus","Hainaut"
6224,"Wanfercée-Baulet","Oui","Fleurus","Hainaut"
7880,"Flobecq","Non","Flobecq","Hainaut"
5150,"Floreffe","Non","Floreffe","Namur"
5150,"Floriffoux","Oui","Floreffe","Namur"
5150,"Franière","Oui","Floreffe","Namur"
5150,"Soye","Oui","Floreffe","Namur"
5620,"Florennes","Non","Florennes","Namur"
5620,"Corenne","Oui","Florennes","Namur"
5620,"Flavion","Oui","Florennes","Namur"
5620,"Hemptinne-lez-Florennes","Oui","Florennes","Namur"
5620,"Morville","Oui","Florennes","Namur"
5620,"Rosée","Oui","Florennes","Namur"
5620,"Saint-Aubin","Oui","Florennes","Namur"
5621,"Hanzinelle","Oui","Florennes","Namur"
5621,"Hanzinne","Oui","Florennes","Namur"
5621,"Morialmé","Oui","Florennes","Namur"
5621,"Thy-le-Bauduin","Oui","Florennes","Namur"
6820,"Florenville","Non","Florenville","Luxembourg"
6820,"Fontenoille","Oui","Florenville","Luxembourg"
6820,"Muno","Oui","Florenville","Luxembourg"
6820,"Sainte-Cécile","Oui","Florenville","Luxembourg"
6821,"Lacuisine","Oui","Florenville","Luxembourg"
6823,"Villers-devant-Orval","Oui","Florenville","Luxembourg"
6824,"Chassepierre","Oui","Florenville","Luxembourg"
6140,"Fontaine-l'Évêque","Non","Fontaine-L'evêque","Hainaut"
6141,"Forchies-La-Marche","Oui","Fontaine-L'evêque","Hainaut"
6142,"Leernes","Oui","Fontaine-L'evêque","Hainaut"
1190,"Forest","Non","Forest","Bruxelles"
5070,"Fosses-la-Ville","Non","Fosses-La-Ville","Namur"
5070,"Aisemont","Oui","Fosses-La-Ville","Namur"
5070,"Le Roux","Oui","Fosses-La-Ville","Namur"
5070,"Sart-Eustache","Oui","Fosses-La-Ville","Namur"
5070,"Sart-Saint-Laurent","Oui","Fosses-La-Ville","Namur"
5070,"Vitrival","Oui","Fosses-La-Ville","Namur"
3790,"Fouron-Saint-Martin","Oui","Fourons","Limbourg"
3790,"Mouland","Oui","Fourons","Limbourg"
3791,"Remersdaal","Oui","Fourons","Limbourg"
3792,"Fouron-Saint-Pierre","Oui","Fourons","Limbourg"
3793,"Teuven","Oui","Fourons","Limbourg"
3798,"Fouron-Le-Comte","Oui","Fourons","Limbourg"
7080,"Frameries","Non","Frameries","Hainaut"
7080,"Eugies","Oui","Frameries","Hainaut"
7080,"La Bouverie","Oui","Frameries","Hainaut"
7080,"Noirchain","Oui","Frameries","Hainaut"
7080,"Sars-la-Bruyère","Oui","Frameries","Hainaut"
7910,"Anvaing","Oui","Frasnes-Lez-Anvaing","Hainaut"
7910,"Arc-Ainières","Oui","Frasnes-Lez-Anvaing","Hainaut"
7910,"Arc-Wattripont","Oui","Frasnes-Lez-Anvaing","Hainaut"
7910,"Cordes","Oui","Frasnes-Lez-Anvaing","Hainaut"
7910,"Ellignies-lez-Frasnes","Oui","Frasnes-Lez-Anvaing","Hainaut"
7910,"Forest","Oui","Frasnes-Lez-Anvaing","Hainaut"
7910,"Wattripont","Oui","Frasnes-Lez-Anvaing","Hainaut"
7911,"Buissenal","Oui","Frasnes-Lez-Anvaing","Hainaut"
7911,"Frasnes-lez-Buissenal","Oui","Frasnes-Lez-Anvaing","Hainaut"
7911,"Hacquegnies","Oui","Frasnes-Lez-Anvaing","Hainaut"
7911,"Herquegies","Oui","Frasnes-Lez-Anvaing","Hainaut"
7911,"Montrul-au-Bois","Oui","Frasnes-Lez-Anvaing","Hainaut"
7911,"Moustier","Oui","Frasnes-Lez-Anvaing","Hainaut"
7911,"Oeudeghien","Oui","Frasnes-Lez-Anvaing","Hainaut"
7912,"Dergneau","Oui","Frasnes-Lez-Anvaing","Hainaut"
7912,"Saint-Sauveur","Oui","Frasnes-Lez-Anvaing","Hainaut"
6440,"Froidchapelle","Non","Froidchapelle","Hainaut"
6440,"Boussu-lez-Walcourt","Oui","Froidchapelle","Hainaut"
6440,"Fourbechies","Oui","Froidchapelle","Hainaut"
6440,"Vergnies","Oui","Froidchapelle","Hainaut"
6441,"Erpion","Oui","Froidchapelle","Hainaut"
1570,"Galmaarden","Non","Galmaarden","Brabant Flamand"
1570,"Tollembeek","Oui","Galmaarden","Brabant Flamand"
1570,"Vollezele","Oui","Galmaarden","Brabant Flamand"
1083,"Ganshoren","Non","Ganshoren","Bruxelles"
9890,"Gavere","Non","Gavere","Flandre Orientale"
9890,"Asper","Oui","Gavere","Flandre Orientale"
9890,"Baaigem","Oui","Gavere","Flandre Orientale"
9890,"Dikkelvenne","Oui","Gavere","Flandre Orientale"
9890,"Semmerzake","Oui","Gavere","Flandre Orientale"
9890,"Vurste","Oui","Gavere","Flandre Orientale"
5575,"Gedinne","Non","Gedinne","Namur"
5575,"Bourseigne-Neuve","Oui","Gedinne","Namur"
5575,"Bourseigne-Vieille","Oui","Gedinne","Namur"
5575,"Houdremont","Oui","Gedinne","Namur"
5575,"Louette-Saint-Denis","Oui","Gedinne","Namur"
5575,"Louette-Saint-Pierre","Oui","Gedinne","Namur"
5575,"Malvoisin","Oui","Gedinne","Namur"
5575,"Patignies","Oui","Gedinne","Namur"
5575,"Rienne","Oui","Gedinne","Namur"
5575,"Sart-Custinne","Oui","Gedinne","Namur"
5575,"Vencimont","Oui","Gedinne","Namur"
5575,"Willerzie","Oui","Gedinne","Namur"
2440,"Geel","Non","Geel","Anvers"
4250,"Geer","Non","Geer","Liege"
4250,"Boëlhe","Oui","Geer","Liege"
4250,"Hollogne-sur-Geer","Oui","Geer","Liege"
4250,"Lens-Saint-Servais","Oui","Geer","Liege"
4252,"Omal","Oui","Geer","Liege"
4253,"Darion","Oui","Geer","Liege"
4254,"Ligney","Oui","Geer","Liege"
3450,"Geetbets","Non","Geetbets","Brabant Flamand"
3450,"Grazen","Oui","Geetbets","Brabant Flamand"
3454,"Rummen","Oui","Geetbets","Brabant Flamand"
5030,"Gembloux","Non","Gembloux","Namur"
5030,"Beuzet","Oui","Gembloux","Namur"
5030,"Ernage","Oui","Gembloux","Namur"
5030,"Grand-Manil","Oui","Gembloux","Namur"
5030,"Lonzée","Oui","Gembloux","Namur"
5030,"Sauvenière","Oui","Gembloux","Namur"
5031,"Grand-Leez","Oui","Gembloux","Namur"
5032,"Bossière","Oui","Gembloux","Namur"
5032,"Bothey","Oui","Gembloux","Namur"
5032,"Corroy-le-Château","Oui","Gembloux","Namur"
5032,"Isnes","Oui","Gembloux","Namur"
5032,"Mazy","Oui","Gembloux","Namur"
1470,"Genappe","Non","Genappe","Brabant Wallon"
1470,"Baisy-Thy","Oui","Genappe","Brabant Wallon"
1470,"Bousval","Oui","Genappe","Brabant Wallon"
1471,"Loupoigne","Oui","Genappe","Brabant Wallon"
1472,"Vieux-Genappe","Oui","Genappe","Brabant Wallon"
1473,"Glabais","Oui","Genappe","Brabant Wallon"
